ts,open,high,low,close,vol
1748449831,2639.0,2639.01,2639.0,2639.01,284.44
1748449835,2639.01,2639.2,2638.64,2638.64,747.82
1748449839,2638.64,2639.43,2638.64,2639.43,705.62
1748449843,2639.43,2639.43,2638.96,2638.96,891.7399999999999
1748449847,2638.96,2639.3,2638.96,2639.05,280.62
1748449851,2639.05,2639.05,2638.85,2638.85,55.140000000000015
1748449855,2638.85,2638.9,2638.65,2638.66,1466.1
1748449859,2638.66,2638.89,2638.65,2638.88,199.07
1748449863,2638.88,2638.89,2638.71,2638.71,155.66000000000005
1748449867,2638.72,2638.72,2638.65,2638.66,86.54
1748449871,2638.66,2638.72,2638.65,2638.67,685.65
1748449875,2638.67,2638.67,2638.65,2638.66,217.33
1748449879,2638.65,2638.66,2638.29,2638.42,939.17
1748449883,2638.33,2638.33,2637.68,2637.71,1205.96
1748449887,2637.7,2637.71,2637.3,2637.3,133.29000000000002
1748449891,2637.3,2637.3,2637.03,2637.04,354.76
1748449895,2637.18,2637.31,2636.68,2636.68,1274.38
1748449899,2636.68,2637.3,2636.68,2637.07,776.13
1748449903,2637.08,2637.08,2636.5,2636.76,391.82
1748449907,2636.76,2636.76,2636.5,2636.5,384.91
1748449911,2636.5,2636.51,2636.5,2636.5,348.4700000000001
1748449915,2636.51,2636.51,2636.5,2636.5,702.1899999999998
1748449919,2636.5,2636.51,2635.55,2635.65,2163.24
1748449923,2635.65,2635.66,2635.65,2635.65,125.61
1748449927,2635.65,2635.66,2635.2,2635.2,676.5699999999998
1748449931,2635.2,2635.21,2635.13,2635.14,1006.56
1748449935,2635.13,2635.13,2634.72,2635.12,2706.54
1748449939,2635.12,2635.12,2634.34,2634.41,1502.4299999999998
1748449943,2634.4,2634.4,2633.5,2633.51,3419.6800000000003
1748449947,2633.5,2633.5,2632.8,2632.8,3062.0499999999997
1748449951,2632.8,2632.81,2632.51,2632.51,1517.1699999999996
1748449955,2632.5,2633.91,2632.0,2633.91,3650.86
1748449959,2633.91,2635.0,2633.91,2634.83,1215.45
1748449963,2634.82,2635.03,2634.62,2634.62,409.86
1748449967,2634.62,2634.62,2634.42,2634.43,216.53
1748449971,2634.43,2634.43,2633.41,2633.67,2083.62
1748449975,2633.66,2634.43,2633.51,2634.42,1208.24
1748449979,2634.43,2634.43,2634.1,2634.11,1478.22
1748449983,2634.11,2634.29,2633.93,2633.94,153.26999999999998
1748449987,2633.94,2634.29,2633.93,2634.29,143.78
1748449991,2634.29,2634.4,2633.8,2634.03,1016.47
1748449995,2634.08,2634.99,2634.08,2634.98,1563.7700000000002
1748449999,2634.99,2635.48,2634.99,2635.48,609.9200000000001
1748450003,2635.48,2635.48,2635.47,2635.48,176.31
1748450007,2635.47,2635.66,2635.47,2635.48,659.4499999999999
1748450011,2635.47,2635.48,2635.0,2635.0,5283.7300000000005
1748450015,2635.01,2635.01,2635.0,2635.0,218.93
1748450019,2635.0,2635.0,2634.05,2634.05,1981.6900000000005
1748450023,2634.05,2634.63,2634.05,2634.63,139.66
1748450027,2634.66,2634.67,2634.66,2634.67,178.64
1748450031,2634.66,2634.67,2634.66,2634.67,199.11
1748450035,2634.66,2635.05,2634.66,2634.98,752.32
1748450039,2634.99,2634.99,2634.98,2634.99,294.87
1748450043,2634.99,2635.25,2634.99,2635.24,1690.93
1748450047,2635.25,2635.92,2635.24,2635.9,1682.3100000000002
1748450051,2635.9,2635.98,2635.62,2635.62,682.55
1748450055,2635.63,2636.54,2635.63,2636.47,1339.71
1748450059,2636.47,2636.8,2636.47,2636.8,1208.51
1748450063,2636.79,2637.0,2636.79,2637.0,456.2
1748450067,2636.99,2637.54,2636.99,2637.3,6876.21
1748450071,2637.3,2637.49,2637.29,2637.49,1366.27
1748450075,2637.48,2637.48,2637.04,2637.05,1160.28
1748450079,2637.04,2637.05,2637.04,2637.04,1101.98
1748450083,2637.04,2637.05,2637.04,2637.05,428.84
1748450087,2637.05,2637.05,2635.62,2635.62,3324.48
1748450091,2635.62,2635.63,2634.18,2634.18,2688.17
1748450095,2634.18,2634.44,2634.18,2634.44,143.75000000000003
1748450099,2634.44,2634.98,2634.44,2634.98,287.01
1748450103,2635.02,2635.63,2635.02,2635.42,231.98
1748450107,2635.42,2635.66,2635.41,2635.48,444.3
1748450111,2635.48,2635.55,2635.32,2635.54,78.4
1748450115,2635.55,2635.61,2635.27,2635.27,216.9
1748450119,2635.28,2635.38,2634.85,2635.37,958.2099999999998
1748450123,2635.37,2635.38,2635.02,2635.03,752.15
1748450127,2635.02,2635.02,2634.51,2634.61,1313.6
1748450131,2634.72,2635.51,2634.72,2635.39,445.99999999999994
1748450135,2635.38,2636.71,2635.38,2636.71,294.2799999999999
1748450139,2636.72,2637.6,2636.72,2637.59,3422.1800000000003
1748450143,2637.6,2637.84,2637.6,2637.83,199.58
1748450147,2637.84,2637.84,2637.35,2637.35,612.0600000000001
1748450151,2637.36,2637.69,2637.12,2637.68,527.2500000000001
1748450155,2637.69,2637.85,2637.68,2637.84,163.9
1748450159,2637.85,2640.28,2637.84,2640.28,3887.12
1748450163,2640.29,2640.3,2640.28,2640.29,1480.6
1748450167,2640.29,2640.29,2639.25,2639.64,2425.62
1748450171,2639.65,2640.0,2639.08,2639.08,1296.1
1748450175,2639.09,2639.64,2639.09,2639.5,583.1299999999999
1748450179,2639.49,2640.0,2639.49,2640.0,791.3499999999997
1748450183,2640.0,2640.76,2639.99,2640.69,2211.13
1748450187,2640.69,2640.8,2640.22,2640.3,1917.42
1748450191,2640.3,2640.3,2639.3,2639.75,1834.87
1748450195,2639.74,2639.75,2639.74,2639.74,177.76
1748450199,2639.75,2639.99,2639.42,2639.43,194.87
1748450203,2639.43,2639.84,2639.43,2639.69,227.05999999999997
1748450208,2639.7,2639.7,2639.37,2639.56,329.3
1748450212,2639.57,2639.88,2639.57,2639.88,196.67
1748450216,2639.87,2639.87,2639.84,2639.84,100.67000000000002
1748450220,2639.84,2639.89,2639.33,2639.89,213.91
1748450224,2639.89,2639.9,2639.56,2639.75,239.93
1748450228,2639.75,2639.75,2639.57,2639.57,170.37999999999997
1748450232,2639.56,2639.56,2639.06,2639.06,295.72999999999996
1748450236,2639.06,2639.06,2639.0,2639.0,53.28999999999999
1748450240,2639.0,2639.0,2638.72,2638.73,425.8200000000001
1748450245,2638.73,2639.36,2638.73,2639.21,851.92
1748450249,2639.21,2639.89,2639.21,2639.88,630.8199999999999
1748450253,2639.88,2639.88,2639.58,2639.79,904.67
1748450257,2639.79,2639.81,2639.23,2639.23,123.11
1748450261,2639.24,2639.24,2639.23,2639.23,51.71000000000001
1748450265,2639.23,2639.24,2639.23,2639.24,7.52
1748450269,2639.23,2639.24,2639.23,2639.23,31.49
1748450273,2639.23,2639.24,2639.23,2639.24,52.55
1748450277,2639.24,2639.68,2639.24,2639.67,348.08
1748450281,2639.67,2639.67,2639.36,2639.36,197.47
1748450285,2639.28,2639.28,2638.86,2638.86,320.05000000000007
1748450289,2638.86,2639.37,2638.86,2639.36,749.91
1748450293,2639.28,2639.28,2638.04,2638.05,378.94
1748450297,2638.04,2638.04,2637.69,2637.69,58.09
1748450301,2637.64,2637.64,2637.08,2637.08,355.95
1748450305,2637.09,2637.69,2637.08,2637.69,242.15999999999997
1748450309,2637.69,2637.69,2637.44,2637.44,159.41
1748450313,2637.45,2637.65,2637.0,2637.0,1086.8300000000002
1748450317,2636.99,2636.99,2636.8,2636.81,102.21
1748450321,2636.82,2637.27,2636.82,2637.27,75.0
1748450325,2637.27,2637.61,2637.27,2637.61,159.78
1748450329,2637.61,2637.61,2637.39,2637.39,114.45
1748450333,2637.39,2637.39,2637.07,2637.07,57.029999999999994
1748450337,2637.06,2637.06,2636.67,2636.68,751.7299999999999
1748450341,2636.68,2637.27,2636.68,2637.26,1736.23
1748450346,2637.26,2637.27,2636.7,2636.71,203.6
1748450350,2636.71,2636.71,2636.53,2636.53,121.3
1748450354,2636.53,2636.91,2636.39,2636.4,1793.7900000000002
1748450358,2636.41,2636.74,2636.41,2636.43,2207.0
1748450362,2636.43,2636.43,2635.55,2635.87,607.4300000000001
1748450366,2635.87,2635.87,2635.54,2635.55,262.10999999999996
1748450370,2635.54,2635.55,2635.01,2635.02,933.1
1748450374,2635.01,2635.27,2635.0,2635.27,345.77
1748450378,2635.29,2635.47,2635.0,2635.01,265.91
1748450382,2635.01,2635.01,2634.18,2634.18,3264.6299999999997
1748450386,2634.19,2634.67,2634.18,2634.66,510.15
1748450390,2634.67,2634.67,2634.66,2634.67,558.1899999999999
1748450394,2634.66,2634.67,2634.66,2634.67,118.83
