datetime,action,price,amount,position_long,position_short,cash,margin,total_asset,pnl
2023-04-23 02:00:00,close_long,1887.43,-6,0,0,18395.191868920745,0.0,18395.191868920745,408.01840260784684
2023-04-23 02:00:00,open_short,1887.43,6,0,6,17828.962868920746,566.229,18395.191868920745,0.0
2023-04-24 23:25:00,close_short,1845.6,-6,0,0,18646.17186892075,0.0,18646.17186892075,250.98000000000093
2023-04-24 23:25:00,open_long,1845.6,6,6,0,7572.57186892075,11073.599999999999,18646.17186892075,0.0
2023-04-26 19:00:00,close_long,1919.71,-6,0,0,19535.49186892075,0.0,19535.49186892075,444.6600000000021
2023-04-26 19:00:00,open_short,1919.71,6,0,6,18959.57886892075,575.913,19535.49186892075,0.0
2023-05-17 00:50:00,close_short,1628.102391323229,-6,0,0,21285.137520981378,0.0,21285.137520981378,1749.6456520606257
2023-05-17 00:50:00,open_long,1628.102391323229,6,6,0,11516.523173042004,9768.614347939374,21285.137520981378,0.0
2023-05-18 06:25:00,close_long,1835.4,-6,0,0,23772.70882510263,0.0,23772.70882510263,1243.785652060626
2023-05-18 06:25:00,open_short,1835.4,6,0,6,23222.08882510263,550.6200000000001,23772.70882510263,0.0
2023-05-20 18:45:00,close_short,1647.2820089328968,-6,0,0,24901.41677150525,0.0,24901.41677150525,1128.707946402621
2023-05-20 18:45:00,open_long,1647.2820089328968,6,6,0,15017.72471790787,9883.69205359738,24901.41677150525,0.0
2023-05-23 01:40:00,close_long,1820.0,-6,0,0,26974.03266431049,0.0,26974.03266431049,1036.307946402619
2023-05-23 01:40:00,open_short,1820.0,6,0,6,26428.03266431049,546.0,26974.03266431049,0.0
2023-05-28 07:50:00,close_short,1614.0680746253997,-6,0,0,28209.62421655809,0.0,28209.62421655809,1235.5915522476016
2023-05-28 07:50:00,open_long,1614.0680746253997,6,6,0,18525.215768805694,9684.408447752397,28209.62421655809,0.0
2023-06-06 20:10:00,close_long,1968.6711056282531,-6,0,0,32464.860588592335,0.0,32464.860588592335,2127.618186017122
2023-06-06 20:10:00,open_short,1968.6711056282531,6,0,6,31874.25925690386,590.601331688476,32464.860588592335,0.0
2023-06-07 00:45:00,close_short,1833.66,-6,0,0,33274.92722236185,0.0,33274.92722236185,810.0666337695184
2023-06-07 00:45:00,open_long,1833.66,6,6,0,22272.967222361855,11001.960000000001,33274.92722236185,0.0
2023-06-16 10:50:00,close_long,2197.756422650238,-6,0,0,37644.08429416471,0.0,37644.08429416471,2184.5785359014285
2023-06-16 10:50:00,open_short,2197.756422650238,6,0,6,36984.75736736964,659.3269267950715,37644.08429416471,0.0
